initial_payment,car,price,months_term,miles_per_annum
"£2,969.91 ex VAT",Audi A4 Estate 2.0 TDI Black Edition 5dr [2018],£329.99,48,"5,000"
"£2,969.91 ex VAT",Land Rover Range Rover Evoque Suv 2.0 TD4 Landmark 5dr [2019],£329.99,48,"5,000"
"£2,978.91 ex VAT",Jaguar F-pace Estate 2.0d [163] Portfolio 5dr [2018],£330.99,48,"5,000"
"£2,978.91 ex VAT",Land Rover Discovery Sport Estate 2.0 Si4 240 HSE 5dr Auto [2019],£330.99,48,"5,000"
"£2,978.91 ex VAT",Land Rover Range Rover Evoque Suv 2.0 eD4 HSE Dynamic 5dr 2WD [2019],£330.99,48,"5,000"
"£2,996.91 ex VAT",Audi A5 Hatchback 2.0 TFSI Quattro S Line 5dr S Tronic [Tech Pack] [2018],£332.99,24,"5,000"
"£2,996.91 ex VAT",BMW 5 Series Estate 520d xDrive SE 5dr Auto [2018.75],£332.99,48,"5,000"
"£2,996.91 ex VAT",BMW 5 Series Saloon 525d SE 4dr Auto [2018.75],£332.99,48,"5,000"
"£2,996.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 D180 R-Dynamic S 5dr Auto [2019],£332.99,48,"5,000"
"£2,996.91 ex VAT",Mercedes-Benz Glc Estate GLC 250d 4Matic AMG Line Prem Plus 5dr 9G-Tronic [2019],£332.99,48,"5,000"
"£3,005.91 ex VAT",BMW 5 Series Saloon 530i M Sport 4dr Auto [2018.75],£333.99,36,"5,000"
"£3,005.91 ex VAT",Mitsubishi Shogun Suv 3.2 DI-DC [187] Warrior 3dr Auto [2017],£333.99,48,"5,000"
"£3,014.91 ex VAT",Audi A4 Estate 2.0 TDI S Line 5dr S Tronic [Leather/Alc] [2018],£334.99,48,"5,000"
"£3,023.91 ex VAT",Audi A3 Hatchback S3 TFSI Quattro Black Edition 5dr S Tronic [Tech] [2018],£335.99,48,"5,000"
"£3,032.91 ex VAT",Audi A5 Coupe 2.0 TFSI 252 Quattro S Line 2dr S Tronic [Tech Pk] [2018],£336.99,48,"5,000"
"£3,032.91 ex VAT",Land Rover Discovery Sport Suv 2.0 TD4 180 SE Tech 5dr [2019],£336.99,48,"5,000"
"£3,032.91 ex VAT",Mercedes-Benz Glc Coupe Coupe GLC 220d 4Matic Sport Premium 5dr 9G-Tronic [2019],£336.99,48,"5,000"
"£3,032.91 ex VAT",Mercedes-Benz Glc Coupe Coupe GLC 250d 4Matic Sport 5dr 9G-Tronic [2019],£336.99,48,"5,000"
"£3,059.91 ex VAT",BMW X3 Suv xDrive20d xLine 5dr Step Auto [2018.75],£339.99,48,"5,000"
"£3,059.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 D180 R-Dynamic SE 5dr Auto [2019],£339.99,48,"5,000"
"£3,059.91 ex VAT",Mercedes-Benz Glc Coupe Coupe GLC 220d 4Matic AMG Line 5dr 9G-Tronic [2019],£339.99,48,"5,000"
"£3,068.91 ex VAT",Audi A3 Saloon S3 TFSI Quattro 4dr S Tronic [2018],£340.99,48,"5,000"
"£3,086.91 ex VAT",Jaguar F-pace Estate 2.0d R-Sport 5dr Auto AWD [2018],£342.99,48,"5,000"
"£3,095.91 ex VAT",Audi A4 Estate 2.0 TDI Black Edition 5dr S Tronic [2018],£343.99,48,"5,000"
"£3,095.91 ex VAT",BMW 5 Series Estate 520d xDrive M Sport 5dr Auto [2018.75],£343.99,48,"5,000"
"£3,115.44 ex VAT",BMW X3 Suv xDrive20d M Sport 5dr Step Auto [2018.75],£346.16,48,"5,000"
"£3,140.91 ex VAT",Audi A5 Convertible 3.0 TDI Quattro Sport 2dr S Tronic [2018],£348.99,48,"5,000"
"£3,140.91 ex VAT",BMW X4 Estate xDrive20d M Sport 5dr Step Auto [2019],£348.99,48,"5,000"
"£3,149.91 ex VAT",Mercedes-Benz Glc Coupe Coupe GLC 220d 4Matic AMG Line Premium 5dr 9G-Tronic [2019],£349.99,48,"5,000"
"£3,149.91 ex VAT",Jaguar F-pace Estate 2.0d Portfolio 5dr Auto [2018],£349.99,48,"5,000"
